,id,src,result,reference_str,sentence_length,BLEUscore
57,57,where should we go ?,ou devrions nous aller ? <end>,ou devrions nous nous rendre ?,5,0.23394743548827707
58,58,tom is bald .,tom est chauve . <end>,tom est chauve .,4,1.0
59,59,are you happy right now ?,etes vous heureuse en ce moment ? <end>,etes vous heureuses en ce moment ?,6,0.488923022434901
60,60,no problem at all !,pas de probleme ! <end>,aucun probleme !,5,0.16990442448471224
61,61,put the rifle down .,pose le fusil . <end>,posez le fusil .,5,0.3976353643835253
62,62,what do you want now ?,que voulez vous maintenant ? <end>,que veux tu maintenant ?,6,0.12574334296829354
63,63,are you ready to do that ?,etes vous prete a faire cela ? <end>,etes vous pret a faire cela ?,7,0.488923022434901
64,64,tom borrowed my car .,tom a emprunte ma voiture . <end>,tom a emprunte ma voiture .,5,1.0
65,65,there was nobody there .,il n y avait la personne . <end>,"la , il n y avait personne .",5,0.4404890495145604
66,66,you haven t aged a day .,tu n as pas pris de journee . <end>,tu n a pas pris une ride .,7,0.08783602619713961
67,67,i live in an apartment .,j habite en appartement . <end>,j habite dans un appartement .,6,0.1315583108973614
68,68,there s no food .,il n y a pas de nourriture . <end>,il n y a aucune nourriture .,5,0.4111336169005197
69,69,they re not coming back .,ils ne vont pas prendre . <end>,elles ne vont pas revenir .,6,0.21711852081087685
70,70,he has no hat on .,il ne porte pas de chapeau . <end>,il est decouvert .,6,0.039281465090051315
71,71,the only way is up .,le temps de c est de l encre . <end>,le seul chemin est vers le haut .,6,0.03155984539112946
72,72,is he breathing ?,est il en train de me menacer ? <end>,respire t il ?,4,0.03303164318013808
73,73,did you get the flowers ?,avez vous recu les fleurs ? <end>,as tu recu les fleurs ?,6,0.5081327481546147
74,74,i m not your teacher .,je ne suis pas votre institutrice . <end>,je ne suis pas ton professeur .,6,0.4347208719449914
75,75,i wish you d talk to me .,j aimerais que tu me parles . <end>,j aimerais que vous me parliez .,8,0.18575057999133598
76,76,"take your seats , please .","de l autre , s il vous plait . <end>","prenez place , je vous prie !",6,0.028517539529041507
77,77,don t forget who you are .,n oubliez pas trop . <end>,n oubliez pas qui vous etes .,7,0.19153996003797966
78,78,a rabbit has long ears .,un peu de grandes homme se cheveux . <end>,les lapins ont de grandes oreilles .,6,0.06500593260343691
79,79,this is my assistant .,c est mon assistante . <end>,voici mon assistant .,5,0.06389431042462725
80,80,you re no singer .,tu n es pas chanteuse . <end>,tu n es pas chanteur .,5,0.537284965911771
81,81,she s at the hotel now .,"elle est a l hotel , maintenant . <end>",elle est maintenant a l hotel .,7,0.1880301546543197
82,82,what s the plan ?,quel est le plan ? <end>,c est quoi le plan ?,5,0.23394743548827707
83,83,i ll be going .,j irai . <end>,j irai .,5,0.5623413251903491
84,84,you re sick !,tu es malade ! <end>,vous etes malade !,4,0.16990442448471224
85,85,tom was shot in the leg .,tom s est tire sur la jambe . <end>,tom a recu une balle dans la jambe .,7,0.13036420666577953
86,86,i have no religion .,je n ai pas d importance . <end>,je n ai aucune religion .,5,0.17567205239427922
87,87,i hope it helps .,j espere que ca aide . <end>,j espere que c est utile .,5,0.1837868600016897
88,88,you ll change your mind .,tu auras du l air sur toi . <end>,tu changeras d avis .,6,0.03303164318013808
89,89,you re being paranoid .,tu es paranoiaque . <end>,vous etes paranoiaque .,5,0.16990442448471224
90,90,i m a good guy .,je suis une bonne fille . <end>,je suis un mec bien .,6,0.09554427922043669
91,91,why are you mad at me ?,pourquoi es tu fachee contre moi ? <end>,pourquoi etes vous en colere contre moi ?,7,0.15228621982435664
92,92,can i leave a message ?,puis je garder un message ? <end>,puis je laisser un message ?,6,0.25406637407730737
93,93,she has many dogs .,elle a de nombreux chiens . <end>,elle a beaucoup de chiens .,5,0.12909944487358058
94,94,think positive .,pense positivement . <end>,pensez positivement .,3,0.24028114141347542
95,95,i m not quite ready yet .,je ne suis pas encore tout a fait pret . <end>,je ne suis pas encore tout a fait prete .,7,0.7825422900366437
96,96,it s a waste of time .,c est une perte de temps . <end>,c est une perte de temps .,7,1.0
97,97,the man must be insane .,l homme doit etre dement . <end>,l homme doit etre fou .,6,0.537284965911771
98,98,can you hurry up ?,pouvez vous vous depecher ? <end>,peux tu te depecher ?,5,0.11362193664674995
99,99,i ll send flowers .,j acheterai des champs . <end>,j enverrai des fleurs .,5,0.07071067811865477
